ダウンロードした時刻：2020/06/25 13:29:52

,松本,松本,松本
年月日,平均現地気圧(hPa),平均現地気圧(hPa),平均現地気圧(hPa)
,,品質情報,均質番号
1992/6/18,938.5,8,1
1992/6/19,942.3,8,1
1992/6/20,942.8,8,1
1992/6/21,937.9,8,1
1992/6/22,938.2,8,1
1992/6/23,937.1,8,1
1992/6/24,933.5,8,1
1992/6/25,939.3,8,1
1992/6/26,940.0,8,1
1992/6/27,942.2,8,1
1992/6/28,940.1,8,1
1992/6/29,940.0,8,1
1992/6/30,936.5,8,1
1992/7/1,932.7,8,1
1992/7/2,936.4,8,1
1992/7/3,935.0,8,1
1992/7/4,935.7,8,1
1992/7/5,935.5,8,1
1992/7/6,932.6,8,1
1992/7/7,934.2,8,1
1992/7/8,936.3,8,1
1992/7/9,939.9,8,1
1992/7/10,945.2,8,1
1992/7/11,945.3,8,1
1992/7/12,944.9,8,1
1992/7/13,944.4,8,1
1992/7/14,942.9,8,1
1992/7/15,941.3,8,1
1992/7/16,940.1,8,1
1992/7/17,938.9,8,1
1992/7/18,932.4,8,1
1992/7/19,939.1,8,1
1992/7/20,944.9,8,1
1992/7/21,945.6,8,1
1992/7/22,944.0,8,1
1992/7/23,942.9,8,1
1992/7/24,943.0,8,1
1992/7/25,943.3,8,1
1992/7/26,942.3,8,1
1992/7/27,941.1,8,1
1992/7/28,940.1,8,1
1992/7/29,939.7,8,1
1992/7/30,938.9,8,1
1992/7/31,937.9,8,1
1992/8/1,939.7,8,1
1992/8/2,942.4,8,1
1992/8/3,945.4,8,1
1992/8/4,947.3,8,1
1992/8/5,946.4,8,1
1992/8/6,943.9,8,1
1992/8/7,943.3,8,1
1992/8/8,941.1,8,1
1992/8/9,937.0,8,1
1992/8/10,944.2,8,1
1992/8/11,944.9,8,1
1992/8/12,941.6,8,1
1992/8/13,936.0,8,1
1992/8/14,938.5,8,1
1992/8/15,940.8,8,1
1992/8/16,943.4,8,1
1992/8/17,944.1,8,1
1992/8/18,942.1,8,1
1992/8/19,937.8,8,1
1992/8/20,935.8,8,1
1992/8/21,936.6,8,1
1992/8/22,940.5,8,1
1992/8/23,943.3,8,1
1992/8/24,945.3,8,1
1992/8/25,946.1,8,1
1992/8/26,946.4,8,1
1992/8/27,947.8,8,1
1992/8/28,948.7,8,1
1992/8/29,949.3,8,1
1992/8/30,949.7,8,1
1992/8/31,949.3,8,1
1992/9/1,948.5,8,1
1992/9/2,942.4,8,1
1992/9/3,936.5,8,1
1992/9/4,935.8,8,1
1992/9/5,938.4,8,1
1992/9/6,942.5,8,1
1992/9/7,943.3,8,1
1992/9/8,942.2,8,1
1992/9/9,940.6,8,1
1992/9/10,936.3,8,1
1992/9/11,933.4,8,1
1992/9/12,939.5,8,1
1992/9/13,941.5,8,1
1992/9/14,940.9,8,1
1992/9/15,938.8,8,1
1992/9/16,939.0,8,1
1992/9/17,942.6,8,1
1992/9/18,946.7,8,1
1992/9/19,946.4,8,1
1992/9/20,949.2,8,1
