ダウンロードした時刻：2020/06/24 20:11:52

,横浜,横浜,横浜
年月日,平均湿度(％),平均湿度(％),平均湿度(％)
,,品質情報,均質番号
1992/6/18,87,8,1
1992/6/19,82,8,1
1992/6/20,93,8,1
1992/6/21,81,8,1
1992/6/22,74,8,1
1992/6/23,88,8,1
1992/6/24,84,8,1
1992/6/25,70,8,1
1992/6/26,72,8,1
1992/6/27,72,8,1
1992/6/28,75,8,1
1992/6/29,73,8,1
1992/6/30,91,8,1
1992/7/1,74,8,1
1992/7/2,90,8,1
1992/7/3,86,8,1
1992/7/4,80,8,1
1992/7/5,87,8,1
1992/7/6,86,8,1
1992/7/7,83,8,1
1992/7/8,81,8,1
1992/7/9,82,8,1
1992/7/10,58,8,1
1992/7/11,77,8,1
1992/7/12,77,8,1
1992/7/13,91,8,1
1992/7/14,94,8,1
1992/7/15,88,8,1
1992/7/16,85,8,1
1992/7/17,87,8,1
1992/7/18,90,8,1
1992/7/19,65,8,1
1992/7/20,61,8,1
1992/7/21,78,8,1
1992/7/22,82,8,1
1992/7/23,79,8,1
1992/7/24,76,8,1
1992/7/25,76,8,1
1992/7/26,78,8,1
1992/7/27,74,8,1
1992/7/28,76,8,1
1992/7/29,76,8,1
1992/7/30,76,8,1
1992/7/31,72,8,1
1992/8/1,82,8,1
1992/8/2,86,8,1
1992/8/3,77,8,1
1992/8/4,80,8,1
1992/8/5,87,8,1
1992/8/6,79,8,1
1992/8/7,73,8,1
1992/8/8,80,8,1
1992/8/9,78,8,1
1992/8/10,67,8,1
1992/8/11,74,8,1
1992/8/12,88,8,1
1992/8/13,84,8,1
1992/8/14,77,8,1
1992/8/15,77,8,1
1992/8/16,77,8,1
1992/8/17,80,8,1
1992/8/18,79,8,1
1992/8/19,79,8,1
1992/8/20,76,8,1
1992/8/21,75,8,1
1992/8/22,74,8,1
1992/8/23,74,8,1
1992/8/24,81,8,1
1992/8/25,72,8,1
1992/8/26,70,8,1
1992/8/27,76,8,1
1992/8/28,73,8,1
1992/8/29,76,8,1
1992/8/30,76,8,1
1992/8/31,73,8,1
1992/9/1,72,8,1
1992/9/2,76,8,1
1992/9/3,68,8,1
1992/9/4,68,8,1
1992/9/5,60,8,1
1992/9/6,67,8,1
1992/9/7,66,8,1
1992/9/8,67,8,1
1992/9/9,69,8,1
1992/9/10,68,8,1
1992/9/11,43,8,1
1992/9/12,45,8,1
1992/9/13,56,8,1
1992/9/14,63,8,1
1992/9/15,89,8,1
1992/9/16,80,8,1
1992/9/17,76,8,1
1992/9/18,69,8,1
1992/9/19,85,8,1
1992/9/20,60,8,1
1992/9/21,60,8,1
1992/9/22,61,8,1
1992/9/23,64,8,1
1992/9/24,68,8,1
1992/9/25,72,8,1
1992/9/26,82,8,1
1992/9/27,43,8,1
1992/9/28,47,8,1
1992/9/29,73,8,1
1992/9/30,90,8,1
1992/10/1,87,8,1
1992/10/2,91,8,1
1992/10/3,86,8,1
1992/10/4,77,8,1
1992/10/5,86,8,1
1992/10/6,69,8,1
1992/10/7,64,8,1
1992/10/8,75,8,1
1992/10/9,78,8,1
1992/10/10,61,8,1
1992/10/11,67,8,1
1992/10/12,87,8,1
1992/10/13,91,8,1
1992/10/14,88,8,1
1992/10/15,91,8,1
1992/10/16,76,8,1
1992/10/17,73,8,1
1992/10/18,74,8,1
1992/10/19,87,8,1
1992/10/20,93,8,1
1992/10/21,68,8,1
1992/10/22,68,8,1
1992/10/23,73,8,1
1992/10/24,91,8,1
1992/10/25,72,8,1
1992/10/26,50,8,1
1992/10/27,56,8,1
1992/10/28,58,8,1
1992/10/29,88,8,1
1992/10/30,83,8,1
1992/10/31,61,8,1
1992/11/1,62,8,1
1992/11/2,43,8,1
1992/11/3,59,8,1
1992/11/4,60,8,1
1992/11/5,72,8,1
1992/11/6,82,8,1
1992/11/7,75,8,1
1992/11/8,59,8,1
1992/11/9,79,8,1
1992/11/10,74,8,1
1992/11/11,49,8,1
1992/11/12,66,8,1
1992/11/13,67,8,1
1992/11/14,70,8,1
1992/11/15,79,8,1
1992/11/16,69,8,1
1992/11/17,73,8,1
1992/11/18,71,8,1
1992/11/19,74,8,1
1992/11/20,94,8,1
1992/11/21,77,8,1
1992/11/22,58,8,1
1992/11/23,59,8,1
1992/11/24,68,8,1
1992/11/25,56,8,1
1992/11/26,52,8,1
1992/11/27,40,8,1
1992/11/28,67,8,1
1992/11/29,85,8,1
1992/11/30,74,8,1
1992/12/1,81,8,1
1992/12/2,63,8,1
1992/12/3,53,8,1
1992/12/4,53,8,1
1992/12/5,50,8,1
1992/12/6,65,8,1
1992/12/7,79,8,1
1992/12/8,76,8,1
1992/12/9,62,8,1
1992/12/10,69,8,1
1992/12/11,51,8,1
1992/12/12,53,8,1
1992/12/13,56,8,1
1992/12/14,43,8,1
1992/12/15,41,8,1
1992/12/16,52,8,1
1992/12/17,56,8,1
1992/12/18,49,8,1
1992/12/19,43,8,1
1992/12/20,61,8,1
1992/12/21,68,8,1
1992/12/22,66,8,1
1992/12/23,54,8,1
1992/12/24,44,8,1
1992/12/25,34,8,1
1992/12/26,41,8,1
1992/12/27,59,8,1
1992/12/28,66,8,1
1992/12/29,74,8,1
1992/12/30,63,8,1
1992/12/31,48,8,1
1993/1/1,46,8,1
1993/1/2,71,8,1
1993/1/3,65,8,1
1993/1/4,59,8,1
1993/1/5,49,8,1
1993/1/6,46,8,1
1993/1/7,77,8,1
1993/1/8,56,8,1
1993/1/9,62,8,1
1993/1/10,72,8,1
1993/1/11,61,8,1
1993/1/12,49,8,1
1993/1/13,56,8,1
1993/1/14,82,8,1
1993/1/15,88,8,1
1993/1/16,88,8,1
1993/1/17,61,8,1
1993/1/18,63,8,1
1993/1/19,54,8,1
1993/1/20,50,8,1
1993/1/21,39,8,1
1993/1/22,40,8,1
1993/1/23,68,8,1
1993/1/24,88,8,1
1993/1/25,89,8,1
1993/1/26,83,8,1
1993/1/27,74,8,1
1993/1/28,60,8,1
1993/1/29,39,8,1
1993/1/30,47,8,1
1993/1/31,51,8,1
1993/2/1,54,8,1
1993/2/2,35,8,1
1993/2/3,42,8,1
1993/2/4,53,8,1
1993/2/5,52,8,1
1993/2/6,52,8,1
1993/2/7,66,8,1
1993/2/8,36,8,1
1993/2/9,39,8,1
1993/2/10,41,8,1
1993/2/11,51,8,1
1993/2/12,53,8,1
1993/2/13,46,8,1
1993/2/14,36,8,1
1993/2/15,42,8,1
1993/2/16,46,8,1
1993/2/17,84,8,1
1993/2/18,59,8,1
1993/2/19,41,8,1
1993/2/20,43,8,1
1993/2/21,66,8,1
1993/2/22,86,8,1
1993/2/23,68,8,1
1993/2/24,35,8,1
1993/2/25,35,8,1
1993/2/26,44,8,1
1993/2/27,52,8,1
1993/2/28,72,8,1
1993/3/1,54,8,1
1993/3/2,51,8,1
1993/3/3,49,8,1
1993/3/4,56,8,1
1993/3/5,61,8,1
1993/3/6,55,8,1
1993/3/7,73,8,1
1993/3/8,67,8,1
1993/3/9,58,8,1
1993/3/10,83,8,1
1993/3/11,62,8,1
1993/3/12,72,8,1
1993/3/13,35,8,1
1993/3/14,40,8,1
1993/3/15,74,8,1
1993/3/16,51,8,1
1993/3/17,35,8,1
1993/3/18,45,8,1
1993/3/19,63,8,1
1993/3/20,66,8,1
1993/3/21,54,8,1
1993/3/22,56,8,1
1993/3/23,65,8,1
1993/3/24,78,8,1
1993/3/25,63,8,1
1993/3/26,49,8,1
1993/3/27,61,8,1
1993/3/28,83,8,1
1993/3/29,55,8,1
1993/3/30,48,8,1
1993/3/31,89,8,1
1993/4/1,65,8,1
1993/4/2,51,8,1
1993/4/3,66,8,1
1993/4/4,71,8,1
1993/4/5,53,8,1
1993/4/6,43,8,1
1993/4/7,47,8,1
1993/4/8,46,8,1
1993/4/9,52,8,1
1993/4/10,47,8,1
1993/4/11,49,8,1
1993/4/12,64,8,1
1993/4/13,71,8,1
1993/4/14,52,8,1
1993/4/15,46,8,1
1993/4/16,40,8,1
1993/4/17,56,8,1
1993/4/18,44,8,1
1993/4/19,44,8,1
1993/4/20,64,8,1
1993/4/21,81,8,1
1993/4/22,88,8,1
1993/4/23,77,8,1
1993/4/24,73,8,1
1993/4/25,47,8,1
1993/4/26,46,8,1
1993/4/27,51,8,1
1993/4/28,63,8,1
1993/4/29,92,8,1
1993/4/30,96,8,1
1993/5/1,76,8,1
1993/5/2,82,8,1
1993/5/3,77,8,1
1993/5/4,56,8,1
1993/5/5,73,8,1
1993/5/6,76,8,1
1993/5/7,66,8,1
1993/5/8,65,8,1
1993/5/9,71,8,1
1993/5/10,94,8,1
1993/5/11,55,8,1
1993/5/12,62,8,1
1993/5/13,61,8,1
1993/5/14,88,8,1
1993/5/15,51,8,1
1993/5/16,51,8,1
1993/5/17,69,8,1
1993/5/18,78,8,1
1993/5/19,65,8,1
1993/5/20,62,8,1
1993/5/21,64,8,1
1993/5/22,83,8,1
1993/5/23,75,8,1
1993/5/24,69,8,1
1993/5/25,66,8,1
1993/5/26,57,8,1
1993/5/27,46,8,1
1993/5/28,55,8,1
1993/5/29,69,8,1
1993/5/30,75,8,1
1993/5/31,68,8,1
1993/6/1,68,8,1
1993/6/2,71,8,1
1993/6/3,77,8,1
1993/6/4,67,8,1
1993/6/5,73,8,1
1993/6/6,84,8,1
1993/6/7,76,8,1
1993/6/8,74,8,1
1993/6/9,90,8,1
1993/6/10,67,8,1
1993/6/11,78,8,1
1993/6/12,73,8,1
1993/6/13,82,8,1
1993/6/14,91,8,1
1993/6/15,85,8,1
1993/6/16,77,8,1
1993/6/17,72,8,1
1993/6/18,73,8,1
1993/6/19,90,8,1
1993/6/20,85,8,1
1993/6/21,76,8,1
1993/6/22,79,8,1
1993/6/23,94,8,1
1993/6/24,85,8,1
1993/6/25,78,8,1
1993/6/26,88,8,1
1993/6/27,78,8,1
1993/6/28,78,8,1
1993/6/29,88,8,1
1993/6/30,94,8,1
1993/7/1,92,8,1
1993/7/2,92,8,1
1993/7/3,87,8,1
1993/7/4,71,8,1
1993/7/5,89,8,1
1993/7/6,70,8,1
1993/7/7,89,8,1
1993/7/8,78,8,1
1993/7/9,72,8,1
1993/7/10,81,8,1
1993/7/11,84,8,1
1993/7/12,88,8,1
1993/7/13,88,8,1
1993/7/14,82,8,1
1993/7/15,80,8,1
1993/7/16,82,8,1
1993/7/17,89,8,1
1993/7/18,95,8,1
1993/7/19,89,8,1
1993/7/20,86,8,1
1993/7/21,88,8,1
1993/7/22,82,8,1
1993/7/23,79,8,1
1993/7/24,90,8,1
1993/7/25,95,8,1
1993/7/26,90,8,1
1993/7/27,80,8,1
1993/7/28,79,8,1
1993/7/29,77,8,1
1993/7/30,87,8,1
1993/7/31,79,8,1
1993/8/1,73,8,1
