ダウンロードした時刻：2020/06/24 20:12:13

,横浜,横浜,横浜
年月日,最小相対湿度(％),最小相対湿度(％),最小相対湿度(％)
,,,
,,品質情報,均質番号
1992/6/18,77,8,1
1992/6/19,71,8,1
1992/6/20,87,8,1
1992/6/21,66,8,1
1992/6/22,60,8,1
1992/6/23,72,8,1
1992/6/24,64,8,1
1992/6/25,45,8,1
1992/6/26,54,8,1
1992/6/27,54,8,1
1992/6/28,55,8,1
1992/6/29,60,8,1
1992/6/30,74,8,1
1992/7/1,57,8,1
1992/7/2,77,8,1
1992/7/3,71,8,1
1992/7/4,60,8,1
1992/7/5,70,8,1
1992/7/6,71,8,1
1992/7/7,67,8,1
1992/7/8,67,8,1
1992/7/9,58,8,1
1992/7/10,35,8,1
1992/7/11,61,8,1
1992/7/12,57,8,1
1992/7/13,83,8,1
1992/7/14,88,8,1
1992/7/15,78,8,1
1992/7/16,74,8,1
1992/7/17,80,8,1
1992/7/18,80,8,1
1992/7/19,44,8,1
1992/7/20,40,8,1
1992/7/21,54,8,1
1992/7/22,73,8,1
1992/7/23,66,8,1
1992/7/24,64,8,1
1992/7/25,50,8,1
1992/7/26,56,8,1
1992/7/27,41,8,1
1992/7/28,65,8,1
1992/7/29,65,8,1
1992/7/30,62,8,1
1992/7/31,59,8,1
1992/8/1,67,8,1
1992/8/2,78,8,1
1992/8/3,69,8,1
1992/8/4,66,8,1
1992/8/5,74,8,1
1992/8/6,64,8,1
1992/8/7,62,8,1
1992/8/8,67,8,1
1992/8/9,66,8,1
1992/8/10,50,8,1
1992/8/11,64,8,1
1992/8/12,78,8,1
1992/8/13,77,8,1
1992/8/14,57,8,1
1992/8/15,60,8,1
1992/8/16,60,8,1
1992/8/17,64,8,1
1992/8/18,59,8,1
1992/8/19,56,8,1
1992/8/20,55,8,1
1992/8/21,56,8,1
1992/8/22,53,8,1
1992/8/23,56,8,1
1992/8/24,68,8,1
1992/8/25,58,8,1
1992/8/26,52,8,1
1992/8/27,60,8,1
1992/8/28,51,8,1
1992/8/29,45,8,1
1992/8/30,50,8,1
1992/8/31,54,8,1
1992/9/1,51,8,1
1992/9/2,61,8,1
1992/9/3,51,8,1
1992/9/4,44,8,1
1992/9/5,35,8,1
1992/9/6,53,8,1
1992/9/7,47,8,1
1992/9/8,51,8,1
1992/9/9,42,8,1
1992/9/10,51,8,1
1992/9/11,32,8,1
1992/9/12,33,8,1
1992/9/13,35,8,1
1992/9/14,37,8,1
1992/9/15,79,8,1
1992/9/16,57,8,1
1992/9/17,62,8,1
1992/9/18,59,8,1
1992/9/19,72,8,1
1992/9/20,30,8,1
1992/9/21,43,8,1
1992/9/22,41,8,1
1992/9/23,46,8,1
1992/9/24,50,8,1
1992/9/25,59,8,1
1992/9/26,67,8,1
1992/9/27,30,8,1
1992/9/28,36,8,1
1992/9/29,57,8,1
1992/9/30,75,8,1
1992/10/1,72,8,1
1992/10/2,83,8,1
1992/10/3,76,8,1
1992/10/4,56,8,1
1992/10/5,74,8,1
1992/10/6,41,8,1
1992/10/7,42,8,1
1992/10/8,61,8,1
1992/10/9,59,8,1
1992/10/10,36,8,1
1992/10/11,56,8,1
1992/10/12,73,8,1
1992/10/13,86,8,1
1992/10/14,80,8,1
1992/10/15,84,8,1
1992/10/16,58,8,1
1992/10/17,56,8,1
1992/10/18,58,8,1
1992/10/19,69,8,1
1992/10/20,88,8,1
1992/10/21,51,8,1
1992/10/22,43,8,1
1992/10/23,53,8,1
1992/10/24,78,8,1
1992/10/25,34,8,1
1992/10/26,28,8,1
1992/10/27,42,8,1
1992/10/28,41,8,1
1992/10/29,69,8,1
1992/10/30,63,8,1
1992/10/31,41,8,1
1992/11/1,46,8,1
1992/11/2,29,8,1
1992/11/3,47,8,1
1992/11/4,43,8,1
1992/11/5,58,8,1
1992/11/6,72,8,1
1992/11/7,57,8,1
1992/11/8,51,8,1
1992/11/9,58,8,1
1992/11/10,38,8,1
1992/11/11,28,8,1
1992/11/12,50,8,1
1992/11/13,50,8,1
1992/11/14,47,8,1
1992/11/15,63,8,1
1992/11/16,45,8,1
1992/11/17,64,8,1
1992/11/18,45,8,1
1992/11/19,56,8,1
1992/11/20,88,8,1
1992/11/21,50,8,1
1992/11/22,41,8,1
1992/11/23,37,8,1
1992/11/24,56,8,1
1992/11/25,22,8,1
1992/11/26,37,8,1
1992/11/27,33,8,1
1992/11/28,45,8,1
1992/11/29,60,8,1
1992/11/30,56,8,1
1992/12/1,65,8,1
1992/12/2,43,8,1
1992/12/3,45,8,1
1992/12/4,34,8,1
1992/12/5,36,8,1
1992/12/6,57,8,1
1992/12/7,63,8,1
1992/12/8,54,8,1
1992/12/9,46,8,1
1992/12/10,48,8,1
1992/12/11,22,8,1
1992/12/12,38,8,1
1992/12/13,26,8,1
1992/12/14,31,8,1
1992/12/15,27,8,1
1992/12/16,37,8,1
1992/12/17,41,8,1
1992/12/18,28,8,1
1992/12/19,31,8,1
1992/12/20,51,8,1
1992/12/21,59,8,1
1992/12/22,54,8,1
1992/12/23,35,8,1
1992/12/24,28,8,1
1992/12/25,19,8,1
1992/12/26,28,8,1
1992/12/27,47,8,1
1992/12/28,52,8,1
1992/12/29,67,8,1
1992/12/30,51,8,1
1992/12/31,32,8,1
1993/1/1,32,8,1
1993/1/2,57,8,1
1993/1/3,48,8,1
1993/1/4,37,8,1
1993/1/5,21,8,1
1993/1/6,35,8,1
1993/1/7,46,8,1
1993/1/8,37,8,1
1993/1/9,40,8,1
1993/1/10,56,8,1
1993/1/11,41,8,1
1993/1/12,31,8,1
1993/1/13,46,8,1
1993/1/14,63,8,1
1993/1/15,86,8,1
1993/1/16,83,8,1
1993/1/17,38,8,1
1993/1/18,44,8,1
1993/1/19,30,8,1
1993/1/20,33,8,1
1993/1/21,21,8,1
1993/1/22,29,8,1
1993/1/23,43,8,1
1993/1/24,75,8,1
1993/1/25,80,8,1
1993/1/26,67,8,1
1993/1/27,50,8,1
1993/1/28,21,8,1
1993/1/29,25,8,1
1993/1/30,34,8,1
1993/1/31,34,8,1
1993/2/1,22,8,1
1993/2/2,22,8,1
1993/2/3,28,8,1
1993/2/4,35,8,1
1993/2/5,39,8,1
1993/2/6,25,8,1
1993/2/7,50,8,1
1993/2/8,27,8,1
1993/2/9,31,8,1
1993/2/10,26,8,1
1993/2/11,40,8,1
1993/2/12,32,8,1
1993/2/13,35,8,1
1993/2/14,18,8,1
1993/2/15,28,8,1
1993/2/16,25,8,1
1993/2/17,48,8,1
1993/2/18,36,8,1
1993/2/19,24,8,1
1993/2/20,29,8,1
1993/2/21,46,8,1
1993/2/22,68,8,1
1993/2/23,20,8,1
1993/2/24,18,8,1
1993/2/25,21,8,1
1993/2/26,24,8,1
1993/2/27,43,8,1
1993/2/28,33,8,1
1993/3/1,35,8,1
1993/3/2,23,8,1
1993/3/3,32,8,1
1993/3/4,47,8,1
1993/3/5,33,8,1
1993/3/6,27,8,1
1993/3/7,59,8,1
1993/3/8,34,8,1
1993/3/9,37,8,1
1993/3/10,65,8,1
1993/3/11,34,8,1
1993/3/12,45,8,1
1993/3/13,27,8,1
1993/3/14,24,8,1
1993/3/15,53,8,1
1993/3/16,33,8,1
1993/3/17,25,8,1
1993/3/18,31,8,1
1993/3/19,36,8,1
1993/3/20,53,8,1
1993/3/21,33,8,1
1993/3/22,28,8,1
1993/3/23,39,8,1
1993/3/24,61,8,1
1993/3/25,34,8,1
1993/3/26,38,8,1
1993/3/27,37,8,1
1993/3/28,63,8,1
1993/3/29,22,8,1
1993/3/30,30,8,1
1993/3/31,63,8,1
1993/4/1,33,8,1
1993/4/2,27,8,1
1993/4/3,49,8,1
1993/4/4,57,8,1
1993/4/5,23,8,1
1993/4/6,31,8,1
1993/4/7,27,8,1
1993/4/8,25,8,1
1993/4/9,27,8,1
1993/4/10,26,8,1
1993/4/11,30,8,1
1993/4/12,38,8,1
1993/4/13,55,8,1
1993/4/14,26,8,1
1993/4/15,26,8,1
1993/4/16,19,8,1
1993/4/17,39,8,1
1993/4/18,24,8,1
1993/4/19,22,8,1
1993/4/20,53,8,1
1993/4/21,69,8,1
1993/4/22,71,8,1
1993/4/23,60,8,1
1993/4/24,59,8,1
1993/4/25,22,8,1
1993/4/26,28,8,1
1993/4/27,36,8,1
1993/4/28,35,8,1
1993/4/29,84,8,1
1993/4/30,91,8,1
1993/5/1,60,8,1
1993/5/2,64,8,1
1993/5/3,43,8,1
1993/5/4,43,8,1
1993/5/5,45,8,1
1993/5/6,54,8,1
1993/5/7,34,8,1
1993/5/8,54,8,1
1993/5/9,59,8,1
1993/5/10,87,8,1
1993/5/11,20,8,1
1993/5/12,41,8,1
1993/5/13,47,8,1
1993/5/14,73,8,1
1993/5/15,23,8,1
1993/5/16,35,8,1
1993/5/17,44,8,1
1993/5/18,70,8,1
1993/5/19,33,8,1
1993/5/20,24,8,1
1993/5/21,34,8,1
1993/5/22,73,8,1
1993/5/23,58,8,1
1993/5/24,52,8,1
1993/5/25,45,8,1
1993/5/26,39,8,1
1993/5/27,26,8,1
1993/5/28,28,8,1
1993/5/29,40,8,1
1993/5/30,59,8,1
1993/5/31,55,8,1
1993/6/1,51,8,1
1993/6/2,59,8,1
1993/6/3,53,8,1
1993/6/4,45,8,1
1993/6/5,51,8,1
1993/6/6,68,8,1
1993/6/7,59,8,1
1993/6/8,57,8,1
1993/6/9,78,8,1
1993/6/10,43,8,1
1993/6/11,49,8,1
1993/6/12,56,8,1
1993/6/13,68,8,1
1993/6/14,78,8,1
1993/6/15,68,8,1
1993/6/16,47,8,1
1993/6/17,54,8,1
1993/6/18,53,8,1
1993/6/19,77,8,1
1993/6/20,70,8,1
1993/6/21,60,8,1
1993/6/22,64,8,1
1993/6/23,86,8,1
1993/6/24,69,8,1
1993/6/25,65,8,1
1993/6/26,80,8,1
1993/6/27,47,8,1
1993/6/28,57,8,1
1993/6/29,72,8,1
1993/6/30,90,8,1
1993/7/1,86,8,1
1993/7/2,85,8,1
1993/7/3,73,8,1
1993/7/4,52,8,1
1993/7/5,74,8,1
1993/7/6,50,8,1
1993/7/7,81,8,1
1993/7/8,65,8,1
1993/7/9,57,8,1
1993/7/10,73,8,1
1993/7/11,71,8,1
1993/7/12,77,8,1
1993/7/13,77,8,1
1993/7/14,68,8,1
1993/7/15,62,8,1
1993/7/16,73,8,1
1993/7/17,72,8,1
1993/7/18,93,8,1
1993/7/19,79,8,1
1993/7/20,76,8,1
1993/7/21,79,8,1
1993/7/22,69,8,1
1993/7/23,67,8,1
1993/7/24,78,8,1
1993/7/25,90,8,1
1993/7/26,81,8,1
1993/7/27,66,8,1
1993/7/28,65,8,1
1993/7/29,62,8,1
1993/7/30,76,8,1
1993/7/31,62,8,1
1993/8/1,47,8,1
1993/8/2,72,8,1
1993/8/3,77,8,1
1993/8/4,75,8,1
1993/8/5,67,8,1
1993/8/6,79,8,1
1993/8/7,68,8,1
1993/8/8,74,8,1
1993/8/9,73,8,1
1993/8/10,77,8,1
1993/8/11,61,8,1
1993/8/12,47,8,1
1993/8/13,54,8,1
1993/8/14,67,8,1
1993/8/15,69,8,1
1993/8/16,81,8,1
1993/8/17,67,8,1
1993/8/18,73,8,1
1993/8/19,69,8,1
1993/8/20,65,8,1
1993/8/21,60,8,1
1993/8/22,61,8,1
1993/8/23,61,8,1
1993/8/24,61,8,1
1993/8/25,60,8,1
1993/8/26,65,8,1
1993/8/27,75,8,1
1993/8/28,54,8,1
1993/8/29,52,8,1
1993/8/30,66,8,1
1993/8/31,63,8,1
1993/9/1,68,8,1
1993/9/2,67,8,1
1993/9/3,66,8,1
1993/9/4,70,8,1
1993/9/5,56,8,1
1993/9/6,67,8,1
1993/9/7,91,8,1
1993/9/8,94,8,1
1993/9/9,90,8,1
1993/9/10,65,8,1
1993/9/11,63,8,1
1993/9/12,65,8,1
1993/9/13,66,8,1
1993/9/14,60,8,1
1993/9/15,52,8,1
1993/9/16,49,8,1
1993/9/17,52,8,1
1993/9/18,59,8,1
1993/9/19,52,8,1
1993/9/20,52,8,1
1993/9/21,74,8,1
1993/9/22,69,8,1
1993/9/23,92,8,1
1993/9/24,79,8,1
1993/9/25,72,8,1
1993/9/26,52,8,1
1993/9/27,36,8,1
1993/9/28,48,8,1
1993/9/29,66,8,1
1993/9/30,52,8,1
1993/10/1,77,8,1
1993/10/2,35,8,1
1993/10/3,60,8,1
1993/10/4,61,8,1
1993/10/5,49,8,1
1993/10/6,36,8,1
1993/10/7,65,8,1
1993/10/8,86,8,1
1993/10/9,47,8,1
1993/10/10,76,8,1
1993/10/11,34,8,1
1993/10/12,53,8,1
1993/10/13,58,8,1
1993/10/14,67,8,1
1993/10/15,62,8,1
1993/10/16,72,8,1
1993/10/17,80,8,1
1993/10/18,52,8,1
1993/10/19,59,8,1
1993/10/20,48,8,1
1993/10/21,69,8,1
1993/10/22,54,8,1
1993/10/23,28,8,1
1993/10/24,33,8,1
1993/10/25,38,8,1
1993/10/26,28,8,1
1993/10/27,29,8,1
1993/10/28,38,8,1
1993/10/29,55,8,1
1993/10/30,83,8,1
1993/10/31,24,8,1
1993/11/1,41,8,1
1993/11/2,41,8,1
1993/11/3,49,8,1
1993/11/4,53,8,1
1993/11/5,27,8,1
1993/11/6,52,8,1
1993/11/7,58,8,1
1993/11/8,62,8,1
1993/11/9,44,8,1
1993/11/10,52,8,1
1993/11/11,66,8,1
1993/11/12,80,8,1
1993/11/13,88,8,1
1993/11/14,63,8,1
1993/11/15,35,8,1
1993/11/16,44,8,1
1993/11/17,60,8,1
1993/11/18,62,8,1
1993/11/19,36,8,1
1993/11/20,59,8,1
1993/11/21,64,8,1
1993/11/22,35,8,1
1993/11/23,33,8,1
1993/11/24,25,8,1
1993/11/25,37,8,1
1993/11/26,45,8,1
1993/11/27,52,8,1
1993/11/28,32,8,1
1993/11/29,36,8,1
1993/11/30,42,8,1
1993/12/1,43,8,1
1993/12/2,44,8,1
1993/12/3,39,8,1
1993/12/4,57,8,1
1993/12/5,30,8,1
1993/12/6,54,8,1
1993/12/7,50,8,1
1993/12/8,68,8,1
1993/12/9,43,8,1
1993/12/10,48,8,1
1993/12/11,40,8,1
1993/12/12,37,8,1
1993/12/13,43,8,1
1993/12/14,48,8,1
1993/12/15,34,8,1
1993/12/16,35,8,1
1993/12/17,39,8,1
1993/12/18,27,8,1
1993/12/19,45,8,1
1993/12/20,54,8,1
1993/12/21,45,8,1
1993/12/22,28,8,1
1993/12/23,26,8,1
1993/12/24,23,8,1
1993/12/25,43,8,1
1993/12/26,41,8,1
1993/12/27,33,8,1
1993/12/28,33,8,1
1993/12/29,29,8,1
1993/12/30,44,8,1
1993/12/31,40,8,1
1994/1/1,26,8,1
1994/1/2,39,8,1
1994/1/3,59,8,1
1994/1/4,38,8,1
1994/1/5,33,8,1
1994/1/6,47,8,1
1994/1/7,33,8,1
1994/1/8,38,8,1
1994/1/9,50,8,1
1994/1/10,49,8,1
1994/1/11,82,8,1
1994/1/12,50,8,1
1994/1/13,63,8,1
1994/1/14,33,8,1
1994/1/15,25,8,1
1994/1/16,41,8,1
1994/1/17,57,8,1
1994/1/18,56,8,1
1994/1/19,36,8,1
1994/1/20,30,8,1
1994/1/21,51,8,1
1994/1/22,42,8,1
1994/1/23,27,8,1
1994/1/24,21,8,1
1994/1/25,42,8,1
1994/1/26,38,8,1
1994/1/27,33,8,1
1994/1/28,42,8,1
1994/1/29,45,8,1
1994/1/30,21,8,1
1994/1/31,34,8,1
1994/2/1,55,8,1
1994/2/2,24,8,1
1994/2/3,24,8,1
1994/2/4,23,8,1
1994/2/5,34,8,1
1994/2/6,30,8,1
1994/2/7,31,8,1
1994/2/8,36,8,1
1994/2/9,35,8,1
1994/2/10,16,8,1
1994/2/11,21,8,1
1994/2/12,40,8,1
1994/2/13,28,8,1
1994/2/14,28,8,1
1994/2/15,31,8,1
1994/2/16,37,8,1
1994/2/17,22,8,1
1994/2/18,32,8,1
1994/2/19,18,8,1
1994/2/20,43,8,1
1994/2/21,39,8,1
1994/2/22,16,8,1
1994/2/23,28,8,1
1994/2/24,23,8,1
1994/2/25,31,8,1
1994/2/26,27,8,1
1994/2/27,28,8,1
1994/2/28,35,8,1
1994/3/1,37,8,1
1994/3/2,43,8,1
1994/3/3,44,8,1
1994/3/4,36,8,1
1994/3/5,34,8,1
1994/3/6,20,8,1
1994/3/7,44,8,1
1994/3/8,75,8,1
1994/3/9,82,8,1
1994/3/10,69,8,1
1994/3/11,40,8,1
1994/3/12,27,8,1
1994/3/13,52,8,1
1994/3/14,43,8,1
1994/3/15,46,8,1
1994/3/16,35,8,1
1994/3/17,30,8,1
1994/3/18,34,8,1
1994/3/19,41,8,1
1994/3/20,51,8,1
1994/3/21,26,8,1
1994/3/22,36,8,1
1994/3/23,90,8,1
1994/3/24,30,8,1
1994/3/25,29,8,1
1994/3/26,30,8,1
1994/3/27,24,8,1
1994/3/28,27,8,1
1994/3/29,30,8,1
1994/3/30,34,8,1
1994/3/31,26,8,1
1994/4/1,37,8,1
1994/4/2,47,8,1
1994/4/3,17,8,1
1994/4/4,26,8,1
1994/4/5,45,8,1
1994/4/6,35,8,1
1994/4/7,43,8,1
1994/4/8,38,8,1
1994/4/9,30,8,1
1994/4/10,32,8,1
1994/4/11,50,8,1
1994/4/12,66,8,1
1994/4/13,40,8,1
1994/4/14,30,8,1
1994/4/15,23,8,1
1994/4/16,23,8,1
1994/4/17,34,8,1
1994/4/18,22,8,1
1994/4/19,40,8,1
1994/4/20,51,8,1
1994/4/21,26,8,1
1994/4/22,40,8,1
1994/4/23,49,8,1
1994/4/24,57,8,1
1994/4/25,57,8,1
1994/4/26,34,8,1
1994/4/27,45,8,1
1994/4/28,60,8,1
1994/4/29,32,8,1
1994/4/30,52,8,1
1994/5/1,65,8,1
1994/5/2,78,8,1
1994/5/3,71,8,1
1994/5/4,69,8,1
1994/5/5,44,8,1
1994/5/6,38,8,1
1994/5/7,31,8,1
1994/5/8,36,8,1
1994/5/9,30,8,1
1994/5/10,47,8,1
1994/5/11,53,8,1
1994/5/12,73,8,1
1994/5/13,39,8,1
1994/5/14,52,8,1
1994/5/15,83,8,1
1994/5/16,45,8,1
1994/5/17,52,8,1
1994/5/18,53,8,1
1994/5/19,23,8,1
1994/5/20,49,8,1
1994/5/21,43,8,1
1994/5/22,50,8,1
1994/5/23,34,8,1
1994/5/24,32,8,1
1994/5/25,54,8,1
1994/5/26,65,8,1
1994/5/27,64,8,1
1994/5/28,63,8,1
1994/5/29,37,8,1
1994/5/30,51,8,1
1994/5/31,49,8,1
1994/6/1,63,8,1
1994/6/2,38,8,1
1994/6/3,38,8,1
1994/6/4,47,8,1
1994/6/5,39,8,1
1994/6/6,70,8,1
1994/6/7,71,8,1
1994/6/8,56,8,1
1994/6/9,85,8,1
1994/6/10,47,8,1
1994/6/11,57,8,1
1994/6/12,72,8,1
1994/6/13,76,8,1
1994/6/14,70,8,1
1994/6/15,48,8,1
1994/6/16,55,8,1
1994/6/17,46,8,1
1994/6/18,51,8,1
1994/6/19,84,8,1
1994/6/20,90,8,1
1994/6/21,63,8,1
1994/6/22,48,8,1
1994/6/23,60,8,1
1994/6/24,66,8,1
1994/6/25,80,8,1
1994/6/26,65,8,1
1994/6/27,62,8,1
1994/6/28,71,8,1
1994/6/29,73,8,1
1994/6/30,62,8,1
1994/7/1,78,8,1
1994/7/2,62,8,1
1994/7/3,49,8,1
1994/7/4,45,8,1
1994/7/5,48,8,1
1994/7/6,55,8,1
1994/7/7,82,8,1
1994/7/8,60,8,1
1994/7/9,76,8,1
1994/7/10,73,8,1
1994/7/11,64,8,1
1994/7/12,50,8,1
1994/7/13,55,8,1
1994/7/14,63,8,1
1994/7/15,54,8,1
